,contrast,dissimilarity,homogeneity,energy,correlation,ASM
img_216.jpg,134.57843961919664,5.992185054773082,0.38013774084758895,0.21028926314114324,0.9874976998183248,0.04422157419244499
img_217.jpg,125.06831637976005,5.648428534167971,0.3913416771973434,0.21014003985289623,0.9881162424790514,0.04415883634937682
img_218.jpg,159.78692618675012,6.464899582681274,0.3731985659021302,0.20998691596916835,0.9850435453140195,0.04409450487824257
img_219.jpg,215.7557837767345,7.603129890453834,0.35688348744746257,0.2096305632406544,0.9788876456242327,0.04394497304459401
img_220.jpg,277.6448128586332,8.519643322900365,0.34575050331991986,0.20955920628284264,0.9726164473029553,0.043915060937895
img_221.jpg,247.37424034950442,7.906054381846635,0.36025321267376115,0.20965750334509478,0.9756069493309356,0.04395626870889843
img_222.jpg,267.8200769431403,8.075260824204486,0.3645446951053078,0.21006628093537938,0.9750166886640208,0.04412784238602173
img_223.jpg,177.1019920448618,6.615352764736567,0.38905886342858303,0.21001941377836014,0.9830645986503755,0.04410815416380605
img_224.jpg,163.59039840897236,6.5317455659885235,0.379802061385082,0.20967083932523503,0.9853267991608254,0.04396186086334853
img_225.jpg,177.32148865414712,6.7037656494522695,0.38345974656361886,0.2100332089316722,0.9841261136760631,0.04411394885413547
img_226.jpg,148.52382303077727,6.409666797078769,0.3784071925218016,0.20938195856114244,0.9876834426443869,0.04384080457089998
img_227.jpg,142.86857720396455,6.344581377151799,0.38012974197702437,0.209458214674444,0.9880777184469055,0.04387274369460547
img_228.jpg,132.8422893844549,6.051842070944184,0.394578004083723,0.20955662616629248,0.9891809382065967,0.04391397957019926
img_229.jpg,135.1697606937924,5.95418948878456,0.40271338447468585,0.2098034787693773,0.9889786634231845,0.044017499703732546
img_230.jpg,143.480001304121,5.877725612936881,0.4125280191744045,0.21038386702449435,0.9882797227959027,0.04426137150418012
img_231.jpg,129.86869131455398,5.727839723526342,0.4207465402768046,0.21090049282518814,0.9892984661237082,0.04447901787390723
img_232.jpg,141.68403429838287,5.805767475221701,0.4112282055412622,0.2107604520093376,0.9888745533435559,0.0444199681311803
img_233.jpg,133.93437010954617,5.3325443401147625,0.42937426916751437,0.21161762764332642,0.9893798421391575,0.04478202032938955
img_234.jpg,131.26800013041208,5.209582029212311,0.4306385635949712,0.21090132685748378,0.9892519138716838,0.04447936967024721
img_235.jpg,164.55916797078768,6.054218831507564,0.41776483272252074,0.21087424467578986,0.9867159330119675,0.04446794706758489
img_236.jpg,167.63488849765258,6.08154994783516,0.4222667600223382,0.21098591597257996,0.9864021045875371,0.04451505673878857
img_237.jpg,186.89953703703705,6.492416536254565,0.4162795458686683,0.21109092967322143,0.9856291035623141,0.04455938059030491
img_238.jpg,204.9348135106938,7.205483828899323,0.39650311678865585,0.2111935782115288,0.9840761379534939,0.04460272747778913
img_239.jpg,248.35984611371936,7.917807772561294,0.384505962601727,0.21116214771960343,0.9792902495107074,0.044589452629555625
img_240.jpg,210.6922209181012,7.525149973917579,0.3763574544832443,0.21100177495168115,0.9826533243515909,0.044521749032759905
img_241.jpg,156.3401962702139,6.360318857589984,0.4054993527523181,0.21123923894624186,0.9872526108064614,0.04462201607058746
